keywords,tokens
assistance,['assist']
assisted colonization,['assist' 'colon']
assisted migration,['assist']
association of southeast asian nations,['nation' 'southeast']
asthma,['asthma']
asthma attacks,['asthma' 'attack']
atlantic and indian oceans,['atlant' 'ocean']
atlantic ocean,['atlant' 'ocean']
atlantic ports,['atlant' 'port']
atlantic salmon,['atlant' 'salmon']
atmosphere,['atmospher']
atmosphere chemistry,['atmospher']
atmosphere land surface coupling,['atmospher' 'land']
atmosphere ocean coupling,['atmospher' 'ocean']
atmosphere ocean general circulation model,['atmospher' 'general' 'model' 'ocean']
atmosphere ocean general circulation models,['atmospher' 'general' 'model' 'ocean']
atmospheric,['atmospher']
atmospheric aerosols,['aerosol' 'atmospher']
atmospheric carbon dioxide,['atmospher' 'carbon']
atmospheric carbon dioxide co2,['atmospher' 'carbon']
atmospheric carbon dioxide concentrations pathways,['atmospher' 'carbon' 'concentr' 'pathway']
atmospheric chemistry,['atmospher']
atmospheric circulation models,['atmospher' 'model']
atmospheric co2,['atmospher']
atmospheric co2 concentration,['atmospher' 'concentr']
atmospheric co2 concentrations,['atmospher' 'concentr']
atmospheric co2 levels,['atmospher' 'level']
atmospheric contamination,['atmospher' 'contamin']
atmospheric dispersion,['atmospher' 'dispers']
atmospheric dynamics,['atmospher']
atmospheric feedbacks,['atmospher' 'feedback']
atmospheric general circulation model,['atmospher' 'general' 'model']
atmospheric greenhouse gases,['atmospher' 'gase' 'greenhous']
atmospheric model,['atmospher' 'model']
atmospheric models,['atmospher' 'model']
atmospheric moisture,['atmospher']
atmospheric physics and chemistry,['atmospher' 'physic']
atmospheric pressure,['atmospher' 'pressur']
atmospheric regulation,['atmospher']
atmospheric rivers,['atmospher' 'river']
atmospheric sciences,['atmospher' 'scienc']
atmospheric stagnation,['atmospher']
atmospheric temperature,['atmospher']
atmospheric temperatures,['atmospher']
atmospheric variables,['atmospher' 'variabl']
atmospheric warming,['atmospher' 'warm']
attention,['attent']
attitudes,['attitud']
attitudes towards adaptation,['adapt' 'attitud']
attractiveness,['attract']
attributes of communities,['communiti']
attribution framework,['framework']
attribution gap,['gap']
attribution of climate change impacts,['climat' 'impact']
attribution of hazard events,['event' 'hazard']
attribution studies,['studi']
australia's coastal zones,['coastal' 'zone']
australian government,['govern']
australian mixed crop livestock systems,['crop' 'livestock' 'mix' 'system']
australian setting,['set']
australian wheatbelt,['wheatbelt']
australia’s millennium drought,['drought']
austrian federal forests,['feder' 'forest']
authentication,['authent']
author affiliation,['author']
automated,['autom']
automation,['autom']
autonomous adaptation,['adapt' 'autonom']
autonomous adaptation measures,['adapt' 'autonom' 'measur']
autonomous adaptors,['adaptor' 'autonom']
autonomous change,['autonom']
autonomous driving,['autonom' 'drive']
autonomous local adaptations,['adapt' 'autonom' 'local']
autonomous region of sardinia,['autonom' 'region' 'sardinia']
autonomous responses,['autonom' 'respons']
autonomous vehicles,['autonom']
autoregressive,['autoregress']
autumn snow cover,['cover' 'snow']
availability,['avail']
availability and volume of water,['avail' 'water']
availability of river water,['avail' 'river' 'water']
available resources,['avail' 'resourc']
available water scarcity,['avail' 'water']
avalanches,['avalanch']
average crop yield vulnerability,['crop' 'vulner' 'yield']
average productivity,['product']
average treatment effect,['effect' 'treatment']
aversion to change,['avers']
aviation sector,['sector']
avoidance,['avoid']
avoided costs,['avoid' 'cost']
avoided greenhouse gas emission scenarios,['avoid' 'gas' 'greenhous' 'scenario']
awareness,['awar']
awareness and knowledge,['awar']
awareness and training,['awar' 'train']
awareness of state level climate planning,['awar' 'climat' 'level' 'plan' 'state']
awareness programs,['awar' 'program']
awareness raising,['awar' 'rais']
awash river basin,['awash' 'basin' 'river']
bacterial gastroenteritis,['gastroenter']
bago river basin,['bago' 'basin' 'river']
bagyeli pygmies,['bagy']
baia mare town,['mare' 'town']
balancing authority scale,['author' 'balanc' 'scale']
balancing technologies,['balanc' 'technolog']
baltic sea,['sea']
baltic sea region,['region' 'sea']
bamboo mesh,['bamboo' 'mesh']
banana,['banana']
band pass filter,['band' 'filter' 'pass']
bandit problems,['bandit' 'problem']
bangladesh floodplain community,['communiti' 'floodplain']
bantou,['bantou']
barcelona metropolitan area,['area' 'metropolitan']
barley,['barley']
barn,['barn']
barrier island systems,['barrier' 'island' 'system']
barriers,['barrier']
barriers and drivers,['barrier' 'driver']
barriers to change,['barrier']
barriers to implementation,['barrier' 'implement']
barriers to information exchange,['barrier' 'inform']
base case,['base' 'case']
base year 2005,['base' 'year']
baseflow,['baseflow']
baseline conditions,['condit']
baseline economic forecast,['forecast']
baseline risk,['risk']
baseline scenario,['scenario']
basic human needs,['basic' 'human' 'need']
basic linked system,['basic' 'link']
basic needs,['basic' 'need']
basic problem,['basic' 'problem']
basic services,['basic' 'servic']
basin level,['basin' 'level']
basin level water resources,['basin' 'level' 'resourc' 'water']
basin maps,['basin' 'map']
basin plan,['basin' 'plan']
basin scale,['basin' 'scale']
basin strategies,['basin' 'strategi']
basin surface change,['basin']
basin variety,['basin' 'varieti']
basin wide flood risk,['basin' 'flood' 'risk' 'wide']
basins,['basin']
basis risk,['basi' 'risk']
basque country,['basqu' 'countri']
bathymetric,['bathymetr']
batteries,['batteri']
bay county,['bay']
bay county florida,['bay']
bayesian,['bayesian']
bayesian belief networks,['bayesian' 'belief' 'network']
bayesian calibration,['bayesian' 'calibr']
bayesian calibrations,['bayesian' 'calibr']
bayesian decision network,['bayesian' 'decis' 'network']
bayesian emulation calibration,['bayesian' 'calibr']
bayesian estimation techniques,['bayesian' 'estim' 'techniqu']
bayesian framework,['bayesian' 'framework']
bayesian frameworks,['bayesian' 'framework']
bayesian hierarchical logistic model,['bayesian' 'hierarch' 'model']
bayesian hierarchical modeling,['bayesian' 'hierarch' 'model']
bayesian inference,['bayesian' 'infer']
bayesian model averaging,['bayesian' 'model']
bayesian modelling,['bayesian' 'model']
bayesian network,['bayesian' 'network']
bayesian network framework,['bayesian' 'framework' 'network']
bayesian network modelling,['bayesian' 'model' 'network']
bayesian networks,['bayesian' 'network']
bayesian optimization,['bayesian']
bayesian statistical framework,['bayesian' 'framework' 'statist']
bayesian statistical inference,['bayesian' 'infer' 'statist']
bayesian statistics,['bayesian' 'statist']
bayesian techniques,['bayesian' 'techniqu']
bayesian updating,['bayesian']
bclme region,['region']
beach accessibility,['access' 'beach']
beach erosion,['beach' 'eros']
beach grooming,['beach' 'groom']
beach habitats,['beach' 'habitat']
beach nourishment,['beach' 'nourish']
beaches,['beach']
beans,['bean']
beas river,['river']
beef cattle production,['beef' 'product']
behavior,['behavior']
behavior change,['behavior']
behavior prediction,['behavior' 'predict']
behavior responses,['behavior' 'respons']
behavioral,['behavior']
behavioral barriers,['barrier' 'behavior']
behavioral beliefs,['behavior' 'belief']
behavioral change,['behavior']
behavioral land use change,['behavior' 'land' 'use']
behavioral sciences,['behavior' 'scienc']
behavioral theory,['behavior']
behaviors,['behavior']
behaviour,['behaviour']
behavioural,['behaviour']
behavioural adaptation,['adapt' 'behaviour']
behavioural change,['behaviour']
behavioural processes,['behaviour' 'process']
behavioural responses,['behaviour' 'respons']
behaviours,['behaviour']
beijing normal university,['beij' 'normal' 'univers']
belief,['belief']
belief in climate change,['belief' 'climat']
beliefs,['belief']
belonging,['belong']
benchmarking,['benchmark']
benchmarking decision support tools,['benchmark' 'decis' 'support' 'tool']
benchmarks,['benchmark']
bend model,['bend' 'model']
beneficial opportunities,['benefici' 'opportun']
beneficiary selection bias,['bias' 'select']
benefit and burden sharing,['benefit' 'burden' 'share']
benefit cost analysis,['benefit' 'cost']
benefit cost ratios,['benefit' 'cost' 'ratio']
benefit relationship,['benefit' 'relationship']
benefit to efforts ratio,['benefit' 'effort' 'ratio']
benefits,['benefit']
benefits of adaptation,['adapt' 'benefit']
benefits of mitigation,['benefit']
benin,['benin']
benmap,['benmap']
benthic environments,['benthic' 'environ']
bequest,['bequest']
berkeley national laboratories,['laboratori' 'nation']
bespoke water resources model,['bespok' 'model' 'resourc' 'water']
best available science,['avail' 'best' 'scienc']
best management practices,['best' 'manag' 'practic']
best practice,['best' 'practic']
best practices,['best' 'practic']
betweenness centrality,['between' 'central']
bias,['bias']
bias corrected climate model projections,['bias' 'climat' 'correct' 'model' 'project']
bias correcting,['bias' 'correct']
bias correction,['bias' 'correct']
bias correction methods,['bias' 'correct' 'method']
bias reduction,['bias' 'reduct']
bibliometric approaches,['approach']
bibliometric review,['review']
bibliometric study,['studi']
big bend national park,['bend' 'big' 'nation' 'park']
big data,['big' 'data']
big dry,['big']
big horn general stream adjudication,['big' 'general' 'horn' 'stream']
bilateral development programmes,['bilater' 'develop' 'programm']
bilateral gross migration,['bilater' 'gross']
binary criteria,['criteria']
binary logistic regression,['regress']
binary logistic regression model,['model' 'regress']
binomial tree model,['model' 'tree']
binsted et al 2020,['binst']
bio economic farm model,['bio' 'farm' 'model']
bio economic farm model befm,['bio' 'farm' 'model']
bio economic farm modelling,['bio' 'farm' 'model']
bio economic model,['bio' 'model']
bio energy,['bio']
bio energy crop irrigation,['bio' 'crop' 'irrig']
bio energy production,['bio' 'product']
bio energy sector,['bio' 'sector']
bio indicators,['bio']
bio physical,['bio' 'physic']
bio physical effects,['bio' 'effect' 'physic']
bio physical factors,['bio' 'factor' 'physic']
bio physical soil,['bio' 'physic' 'soil']
biodiversity,['biodivers']
biodiversity change,['biodivers']
biodiversity conservation,['biodivers']
biodiversity existence,['biodivers' 'exist']
biodiversity hotspot,['biodivers' 'hotspot']
biodiversity hotspots,['biodivers' 'hotspot']
biodiversity impacts,['biodivers' 'impact']
biodiversity loss,['biodivers' 'loss']
biodiversity losses,['biodivers' 'loss']
biodiversity management,['biodivers' 'manag']
biodiversity offsetting,['biodivers' 'offset']
biodiversity research,['biodivers' 'research']
biodiversity resilience,['biodivers' 'resili']
biodiversity services,['biodivers' 'servic']
biodiversity vulnerability,['biodivers' 'vulner']
bioenergy crops,['crop']
bioenergy production,['product']
bioenergy sustainability,['sustain']
biofuel crops,['biofuel' 'crop']
biofuel industry,['biofuel' 'industri']
biofuel production,['biofuel' 'product']
biofuel sustainability,['biofuel' 'sustain']
biofuels,['biofuel']
biofuels and bioenergy,['biofuel']
biogeochemical interactions,['interact']
biogeochemical model,['model']
biogeochemical reactions,['reaction']
biogeochemistry,['biogeochemistri']
biogeophysical feedbacks,['biogeophys' 'feedback']
biological,['biolog']
biological and environmental research,['biolog' 'environment' 'research']
biological contaminants,['biolog' 'contamin']
biological contamination,['biolog' 'contamin']
biological diversity,['biolog' 'divers']
biological flow,['biolog' 'flow']
biological hazards,['biolog' 'hazard']
biological integrity,['biolog' 'integr']
biological invasion,['biolog' 'invas']
biological invasions,['biolog' 'invas']
biological processes,['biolog' 'process']
biological sensitivity,['biolog' 'sensit']
biological systems,['biolog' 'system']
biological tools,['biolog' 'tool']
biological variables,['biolog' 'variabl']
biologists,['biologist']
biology,['biolog']
bioma,['bioma']
biomass,['biomass']
biomass based energy,['base' 'biomass']
biomass burning,['biomass' 'burn']
biomass cofiring,['biomass' 'cofir']
biomass consumption,['biomass' 'consumpt']
biomass energy,['biomass']
biomass importation,['biomass' 'import']
biomass production,['biomass' 'product']
