lemmas,label
child health,other
childhood malnutrition,other
child,other
childrens health,other
chennai,other
chess,other
chianti classico,other
chicago loop,other
cereal,other
chinchina river basin,earth system modeling
chindwin river basin,earth system modeling
chinese agriculture,earth system modeling
chirp,earth system modeling
chitwan annapurna landscape,earth system modeling
chlorofluorocarbon aerosol,earth system modeling
cholera,earth system modeling
christina river,earth system modeling
chooser option,integrated assessment modeling
circular economy,integrated assessment modeling
circulation couple model,integrated assessment modeling
circulation feature,integrated assessment modeling
ciria pound,integrated assessment modeling
citation network analysis,integrated assessment modeling
city,economics
city national authority,economics
city energysheds,economics
city governance,economics
city government,economics
city hierarchy,economics
city institution,economics
city level,economics
city level goal,economics
city level metric,economics
city london,economics
city naples,economics
city planning process,economics
city plan,economics
city region level,economics
city size,economics
city stakeholder,system of systems
civic engagement,decision science
civic resource,decision science
civil infrastructure,decision science
civil right,decision science
chile,socio-ecological systems
chilean climate risk atlas,socio-ecological systems
china laos vietnam,socio-ecological systems
civil society,socio-ecological systems
circe,complexity science
citizen concern,other
citizen participation,other
citizen,other
citizen group,other
citizen work group,other
civilian defense plan,complexity science
climate change,earth system modeling
climate change action plan,complexity science
climate change adaptation,integrated assessment modeling
climate change adaptation mitigation,complexity science
climate change adaptation decision,complexity science
climate change adaptation governance,complexity science
climate change adaptation measure,complexity science
climate change adaptation policy,earth system modeling
climate change adaptation programme,complexity science
clarity,economics
clarity csis,other
classification model,other
classification rule,other
classification scheme,other
clean air interstate rule,decision science
